host,host_code,year,winner,winner_code
Qatar,QA,2022,,
Russia,RU,2018,France,FR
Brazil,BR,2014,Germany,DE
South Africa,ZA,2010,Spain,ES
Germany,DE,2006,Italy,IT
South Korea,SK,2002,Brazil,BR
France,FR,1998,France,FR
United States,US,1994,Brazil,BR
Italy,IT,1990,West Germany,DE
Mexico,MX,1986,Argentina,AR
Spain,ES,1982,Italy,IT
Argentina,AR,1978,Argentina,AR
West Germany,DE,1974,West Germany,DE
Mexico,MX,1970,Brazil,BR
England,GB,1966,England,GB
Brazil,BR,1962,Brazil,BR
Sweden,SE,1958,Brazil,BR
Switzerland,CH,1954,West Germany,DE
Brazil,BR,1950,Uruguay,UY
France,FR,1938,Italy,IT
Italy,IT,1934,Italy,IT
Uruguay,UY,1930,Uruguay,UY